日期,价格,现金,持仓,权益,收益率,成本价,未实现盈亏
2025-11-18,59.94,1000000.0,0,1000000.0,0.0,0,0
2025-11-17,62.2,1000000.0,0,1000000.0,0.0,0,0
2025-11-14,56.61,1000000.0,0,1000000.0,0.0,0,0
2025-11-13,59.5,1000000.0,0,1000000.0,0.0,0,0
2025-11-12,54.1,1000000.0,0,1000000.0,0.0,0,0
2025-11-11,55.32,1000000.0,0,1000000.0,0.0,0,0
2025-11-10,57.51,1000000.0,0,1000000.0,0.0,0,0
2025-11-07,56.99,1000000.0,0,1000000.0,0.0,0,0
2025-11-06,55.14,1000000.0,0,1000000.0,0.0,0,0
2025-11-05,54.27,1000000.0,0,1000000.0,0.0,0,0
2025-11-04,52.25,1000000.0,0,1000000.0,0.0,0,0
2025-11-03,53.83,1000000.0,0,1000000.0,0.0,0,0
2025-10-31,53.4,1000000.0,0,1000000.0,0.0,0,0
2025-10-30,55.68,1000000.0,0,1000000.0,0.0,0,0
2025-10-29,50.77,1000000.0,0,1000000.0,0.0,0,0
2025-10-28,48.51,1000000.0,0,1000000.0,0.0,0,0
2025-10-27,49.21,1000000.0,0,1000000.0,0.0,0,0
2025-10-24,48.61,1000000.0,0,1000000.0,0.0,0,0
2025-10-23,48.01,1000000.0,0,1000000.0,0.0,0,0
2025-10-22,45.97,1000000.0,0,1000000.0,0.0,0,0
2025-10-21,45.61,1000000.0,0,1000000.0,0.0,0,0
2025-10-20,45.49,1000000.0,0,1000000.0,0.0,0,0
2025-10-17,46.55,1000000.0,0,1000000.0,0.0,0,0
2025-10-16,47.5,1000000.0,0,1000000.0,0.0,0,0
2025-10-15,47.3,1000000.0,0,1000000.0,0.0,0,0
2025-10-14,46.98,1000000.0,0,1000000.0,0.0,0,0
2025-10-13,49.77,1000000.0,0,1000000.0,0.0,0,0
2025-10-10,47.65,1000000.0,0,1000000.0,0.0,0,0
2025-10-09,51.33,1000000.0,0,1000000.0,0.0,0,0
2025-09-30,47.57,1000000.0,0,1000000.0,0.0,0,0
2025-09-29,46.44,1000000.0,0,1000000.0,0.0,0,0
2025-09-26,44.77,1000000.0,0,1000000.0,0.0,0,0
2025-09-25,44.69,1000000.0,0,1000000.0,0.0,0,0
2025-09-24,43.34,1000000.0,0,1000000.0,0.0,0,0
2025-09-23,42.82,1000000.0,0,1000000.0,0.0,0,0
2025-09-22,43.87,1000000.0,0,1000000.0,0.0,0,0
2025-09-19,45.01,1000000.0,0,1000000.0,0.0,0,0
2025-09-18,43.15,1000000.0,0,1000000.0,0.0,0,0
2025-09-17,44.79,1000000.0,0,1000000.0,0.0,0,0
2025-09-16,44.49,1000000.0,0,1000000.0,0.0,0,0
2025-09-15,45.31,1000000.0,0,1000000.0,0.0,0,0
2025-09-12,44.03,1000000.0,0,1000000.0,0.0,0,0
2025-09-11,43.93,1000000.0,0,1000000.0,0.0,0,0
2025-09-10,43.93,1000000.0,0,1000000.0,0.0,0,0
2025-09-09,46.24,1000000.0,0,1000000.0,0.0,0,0
2025-09-08,47.34,1000000.0,0,1000000.0,0.0,0,0
2025-09-05,46.35,1000000.0,0,1000000.0,0.0,0,0
2025-09-04,42.66,1000000.0,0,1000000.0,0.0,0,0
2025-09-03,42.12,1000000.0,0,1000000.0,0.0,0,0
2025-09-02,42.58,1000000.0,0,1000000.0,0.0,0,0
2025-09-01,43.86,1000000.0,0,1000000.0,0.0,0,0
2025-08-29,43.96,1000000.0,0,1000000.0,0.0,0,0
2025-08-28,42.8,1000000.0,0,1000000.0,0.0,0,0
2025-08-27,42.77,1000000.0,0,1000000.0,0.0,0,0
2025-08-26,43.91,1000000.0,0,1000000.0,0.0,0,0
2025-08-25,43.84,1000000.0,0,1000000.0,0.0,0,0
2025-08-22,43.1,1000000.0,0,1000000.0,0.0,0,0
2025-08-21,42.64,1000000.0,0,1000000.0,0.0,0,0
2025-08-20,43.04,1000000.0,0,1000000.0,0.0,0,0
2025-08-19,43.88,1000000.0,0,1000000.0,0.0,0,0
2025-08-18,44.46,1000000.0,0,1000000.0,0.0,0,0
2025-08-15,43.77,1000000.0,0,1000000.0,0.0,0,0
2025-08-14,43.03,1000000.0,0,1000000.0,0.0,0,0
2025-08-13,44.74,1000000.0,0,1000000.0,0.0,0,0
2025-08-12,45.88,1000000.0,0,1000000.0,0.0,0,0
2025-08-11,44.91,1000000.0,0,1000000.0,0.0,0,0
2025-08-08,40.83,1000000.0,0,1000000.0,0.0,0,0
2025-08-07,39.54,1000000.0,0,1000000.0,0.0,0,0
2025-08-06,38.16,1000000.0,0,1000000.0,0.0,0,0
2025-08-05,38.07,1000000.0,0,1000000.0,0.0,0,0
2025-08-04,38.09,1000000.0,0,1000000.0,0.0,0,0
2025-08-01,38.25,1000000.0,0,1000000.0,0.0,0,0
2025-07-31,38.23,1000000.0,0,1000000.0,0.0,0,0
2025-07-30,39.88,1000000.0,0,1000000.0,0.0,0,0
2025-07-29,40.4,1000000.0,0,1000000.0,0.0,0,0
2025-07-28,40.74,1000000.0,0,1000000.0,0.0,0,0
2025-07-25,41.89,1000000.0,0,1000000.0,0.0,0,0
2025-07-24,40.29,1000000.0,0,1000000.0,0.0,0,0
