报告期,报表核心指标,*净利润,*营业总收入,*营业总成本,*归属于母公司所有者的净利润,*扣除非经常性损益后的净利润,报表全部指标,一、营业总收入,其中：营业收入,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：联营企业和合营企业的投资收益,资产处置收益,其他收益,三、营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,（一）持续经营净利润,归属于母公司所有者的净利润,少数股东损益,扣除非经常性损益后的净利润,六、每股收益,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,归属母公司所有者的其他综合收益,八、综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-09-30,,8.29亿,119.67亿,111.71亿,8.19亿,7.19亿,,119.67亿,119.67亿,111.71亿,89.30亿,8179.73万,5.23亿,9.57亿,5.24亿,8540.66万,1.49亿,6986.51万,2448.07万,4398.68万,2850.12万,4770.27万,656.40万,265.93万,1.38亿,10.13亿,2137.36万,False,2556.38万,False,10.09亿,1.81亿,8.29亿,8.29亿,8.19亿,998.74万,7.19亿,,0.53,0.53,9008.22万,5829.02万,9.19亿,8.77亿,4177.94万
2025-06-30,,5.48亿,80.31亿,74.77亿,5.37亿,4.81亿,,80.31亿,80.31亿,74.77亿,59.84亿,5498.90万,3.73亿,6.54亿,3.16亿,4295.57万,1.02亿,4016.46万,1374.45万,3976.29万,1767.53万,3510.41万,805.49万,95.37万,7637.48万,6.84亿,1633.44万,False,1680.48万,False,6.83亿,1.35亿,5.48亿,5.48亿,5.37亿,1075.40万,4.81亿,,0.35,0.35,1.30亿,9245.15万,6.78亿,6.30亿,4799.26万
2025-03-31,,2.77亿,40.39亿,37.82亿,2.68亿,2.35亿,,40.39亿,40.39亿,37.82亿,30.55亿,2883.93万,1.83亿,3.34亿,1.46亿,2581.05万,5175.20万,1571.12万,511.61万,296.13万,-673.09万,2712.59万,False,3.03万,5662.04万,3.34亿,923.44万,False,917.20万,False,3.35亿,5740.96万,2.77亿,2.70亿,2.68亿,900.23万,2.35亿,,0.21,0.21,5737.64万,4644.42万,3.34亿,3.15亿,1993.45万
2024-12-31,,8.32亿,162.47亿,155.40亿,7.93亿,6.35亿,,162.47亿,162.47亿,155.40亿,123.40亿,9376.80万,7.80亿,12.94亿,6.42亿,1.99亿,2.49亿,4941.69万,1.08亿,8304.02万,1.23亿,1219.38万,205.63万,1448.44万,1.49亿,10.06亿,3129.58万,False,4654.71万,False,9.91亿,1.58亿,8.32亿,8.32亿,7.93亿,3943.01万,6.35亿,,0.61,0.61,1372.30万,1287.25万,8.46亿,8.06亿,4028.06万
2024-09-30,,6.78亿,121.94亿,115.56亿,6.38亿,5.72亿,,121.94亿,121.94亿,115.56亿,91.35亿,7338.62万,6.02亿,9.61亿,5.08亿,1.74亿,1.75亿,3354.53万,7166.32万,3121.73万,2811.69万,1370.19万,891.11万,1191.52万,1.02亿,7.95亿,2379.61万,False,3002.71万,False,7.88亿,1.11亿,6.78亿,6.78亿,6.38亿,3947.62万,5.72亿,,0.41,0.41,1872.46万,1048.25万,6.96亿,6.49亿,4771.82万
2024-06-30,,4.09亿,79.78亿,76.19亿,3.93亿,3.48亿,,79.78亿,79.78亿,76.19亿,59.54亿,5271.29万,4.12亿,6.41亿,3.42亿,1.17亿,1.21亿,1955.87万,7061.63万,2967.80万,1213.91万,1277.03万,865.24万,1584.16万,6488.06万,4.64亿,1835.45万,False,1947.83万,False,4.63亿,5432.63万,4.09亿,4.09亿,3.93亿,1623.53万,3.48亿,,0.25,0.25,322.21万,1059.91万,4.12亿,4.03亿,885.82万
2024-03-31,,2.20亿,37.41亿,35.30亿,2.23亿,1.98亿,,37.41亿,37.41亿,35.30亿,28.09亿,3142.23万,1.76亿,3.25亿,1.28亿,6449.08万,5393.60万,724.53万,160.18万,-556.42万,624.83万,784.71万,302.46万,1010.19万,2334.39万,2.59亿,555.24万,False,516.09万,False,2.59亿,3950.47万,2.20亿,2.20亿,2.23亿,-272.26万,1.98亿,,0.17,0.17,-1013.52万,-277.17万,2.10亿,2.20亿,-1008.60万
2023-12-31,,5.53亿,155.67亿,149.31亿,5.30亿,4.77亿,,155.67亿,155.67亿,149.31亿,117.05亿,9429.65万,7.04亿,13.12亿,5.57亿,2.14亿,2.52亿,2535.10万,2.54亿,9073.20万,7001.15万,-2.00亿,-2420.34万,2087.83万,2.43亿,7.70亿,3898.23万,False,4136.41万,False,7.67亿,2.15亿,5.53亿,5.53亿,5.30亿,2302.65万,4.77亿,,0.41,0.41,1.00亿,8312.97万,6.53亿,6.13亿,4020.02万
2023-09-30,,9.64亿,120.67亿,112.21亿,9.24亿,7.28亿,,120.67亿,120.67亿,112.21亿,89.38亿,7475.78万,5.81亿,9.76亿,4.12亿,1.67亿,1.91亿,1928.02万,817.50万,6401.33万,4351.38万,4124.00万,2091.93万,2910.85万,1.65亿,11.25亿,1952.82万,False,2789.82万,False,11.16亿,1.53亿,9.64亿,9.64亿,9.24亿,3984.27万,7.28亿,,0.71,0.71,7660.42万,7177.17万,10.40亿,9.96亿,4467.52万
2023-06-30,,6.28亿,78.14亿,72.36亿,6.05亿,5.10亿,,78.14亿,78.14亿,72.36亿,57.69亿,5353.11万,3.74亿,6.18亿,2.92亿,6688.54万,1.17亿,1515.66万,680.56万,5536.23万,4467.31万,4374.44万,2243.18万,2871.72万,4108.65万,7.37亿,1313.61万,False,1946.36万,False,7.30亿,1.02亿,6.28亿,6.28亿,6.05亿,2318.63万,5.10亿,,0.46,0.46,1.21亿,1.02亿,7.49亿,7.07亿,4150.04万
2023-03-31,,2.65亿,38.36亿,35.86亿,2.58亿,2.19亿,,38.36亿,38.36亿,35.86亿,28.93亿,2758.81万,1.81亿,2.86亿,1.36亿,6054.36万,5135.61万,225.33万,139.61万,28.57万,149.81万,2031.73万,944.52万,2826.46万,992.81万,3.10亿,495.54万,False,585.75万,False,3.09亿,4377.77万,2.65亿,2.65亿,2.58亿,744.78万,2.19亿,,0.20,0.20,-676.14万,-1007.52万,2.58亿,2.48亿,1076.16万
2022-12-31,,8.39亿,142.66亿,134.85亿,8.00亿,7.43亿,,142.66亿,142.66亿,134.85亿,107.26亿,8485.01万,6.82亿,10.82亿,5.75亿,2.07亿,2.75亿,1758.86万,926.47万,1.18亿,-307.34万,9088.49万,2922.13万,60.67万,1.24亿,9.93亿,2427.60万,False,1827.17万,False,9.99亿,1.60亿,8.39亿,8.39亿,8.00亿,3916.44万,7.43亿,,0.62,0.61,1.43亿,1.34亿,9.81亿,9.33亿,4799.92万
2022-09-30,,8.44亿,112.51亿,105.09亿,7.84亿,6.59亿,,112.51亿,112.51亿,105.09亿,85.70亿,6151.70万,4.88亿,8.18亿,3.86亿,1.61亿,1.85亿,1082.03万,1043.73万,1376.98万,3300.95万,9121.94万,4656.88万,58.84万,1.01亿,9.68亿,1444.45万,False,1858.12万,False,9.63亿,1.20亿,8.44亿,8.44亿,7.84亿,5998.14万,6.59亿,,0.60,0.60,5970.19万,6227.97万,9.04亿,8.46亿,5740.36万
2022-06-30,,5.30亿,71.92亿,67.65亿,4.99亿,3.94亿,,71.92亿,71.92亿,67.65亿,54.87亿,4147.78万,3.21亿,5.09亿,2.54亿,1.30亿,1.26亿,1322.86万,735.90万,1434.41万,3476.53万,7747.11万,3329.40万,87.11万,6722.61万,6.07亿,1078.17万,False,1214.51万,False,6.06亿,7623.52万,5.30亿,5.30亿,4.99亿,3111.81万,3.94亿,,0.38,0.38,3522.15万,3776.65万,5.65亿,5.36亿,2857.31万
2022-03-31,,2.04亿,35.27亿,33.51亿,1.98亿,1.48亿,,35.27亿,35.27亿,33.51亿,27.50亿,1826.41万,1.50亿,2.49亿,1.22亿,6287.51万,5887.14万,311.34万,-137.93万,-37.31万,237.22万,3890.64万,903.74万,-22.06万,3219.13万,2.48亿,771.82万,False,784.63万,False,2.48亿,4433.49万,2.04亿,2.04亿,1.98亿,593.62万,1.48亿,,0.15,0.15,65.22万,212.37万,2.05亿,2.00亿,446.48万
2021-12-31,,10.57亿,136.98亿,130.61亿,9.88亿,4.41亿,,136.98亿,136.98亿,130.61亿,105.31亿,6461.19万,5.89亿,9.61亿,5.15亿,2.90亿,2.46亿,1443.11万,4203.89万,6875.86万,1.83亿,349.71万,-3060.78万,4.23亿,9678.33万,13.44亿,1939.61万,False,7814.57万,False,12.85亿,2.28亿,10.57亿,10.57亿,9.88亿,6940.96万,4.41亿,,0.76,0.76,-1.07亿,-9086.18万,9.50亿,8.97亿,5324.14万
2021-09-30,,7.19亿,104.78亿,98.51亿,6.69亿,5.53亿,,104.78亿,104.78亿,98.51亿,79.97亿,5619.67万,4.29亿,7.21亿,3.57亿,2.47亿,1.86亿,919.70万,1573.08万,2829.19万,7212.20万,9040.74万,5378.88万,537.81万,9572.67万,8.90亿,957.96万,False,5141.74万,False,8.48亿,1.29亿,7.19亿,7.19亿,6.69亿,4978.42万,5.53亿,,0.51,0.51,1529.20万,2195.08万,7.34亿,6.91亿,4312.54万
2021-06-30,,4.46亿,67.44亿,63.59亿,4.19亿,3.50亿,,67.44亿,67.44亿,63.59亿,50.69亿,3638.12万,2.97亿,4.83亿,2.35亿,1.97亿,1.20亿,603.63万,886.93万,3221.12万,7212.20万,8001.41万,4436.26万,505.86万,3651.66万,5.79亿,703.21万,False,4242.91万,False,5.44亿,9775.44万,4.46亿,4.46亿,4.19亿,2739.63万,3.50亿,,0.32,0.32,1304.88万,1714.59万,4.59亿,4.36亿,2329.92万
2021-03-31,,1.42亿,29.88亿,28.31亿,1.32亿,1.30亿,,29.88亿,29.88亿,28.31亿,22.59亿,1353.82万,1.49亿,2.28亿,9262.21万,8263.19万,5902.81万,242.14万,140.54万,464.31万,False,1631.12万,1631.12万,403.53万,1147.24万,1.89亿,685.34万,False,2153.60万,False,1.74亿,3232.81万,1.42亿,1.42亿,1.32亿,1008.33万,1.30亿,,0.10,0.10,6918.00万,6981.78万,2.11亿,2.01亿,944.55万
2020-12-31,,9.23亿,125.65亿,118.71亿,8.67亿,6.72亿,,125.65亿,125.65亿,118.71亿,94.92亿,5931.07万,5.87亿,9.63亿,4.01亿,3.17亿,2.97亿,2976.66万,16.20万,5202.68万,2390.23万,8040.87万,7853.71万,2.10亿,8534.29万,10.93亿,3482.66万,False,5753.55万,False,10.71亿,1.48亿,9.23亿,9.23亿,8.67亿,5582.22万,6.72亿,,0.67,0.66,-9105.73万,-9071.78万,8.32亿,7.76亿,5548.27万
2020-09-30,,6.68亿,92.40亿,86.75亿,6.22亿,4.79亿,,92.40亿,92.40亿,86.75亿,68.11亿,4640.32万,6.01亿,7.15亿,2.71亿,2.23亿,2.15亿,2060.42万,-706.02万,1530.47万,5862.81万,4931.53万,4931.53万,6584.65万,4552.14万,7.84亿,2457.99万,False,2675.22万,False,7.82亿,1.14亿,6.68亿,6.68亿,6.22亿,4567.47万,4.79亿,,0.48,0.48,-6069.30万,-5962.03万,6.07亿,5.63亿,4460.20万
2020-06-30,,3.83亿,59.44亿,56.19亿,3.62亿,2.83亿,,59.44亿,59.44亿,56.19亿,44.14亿,2951.56万,3.95亿,4.81亿,1.78亿,1.18亿,1.53亿,1338.88万,-1484.70万,1848.59万,5862.81万,3352.36万,3352.36万,-62.41万,3132.38万,4.48亿,2115.85万,False,1978.14万,False,4.50亿,6695.13万,3.83亿,3.83亿,3.62亿,2094.90万,2.83亿,,0.28,0.28,-2519.46万,-2453.28万,3.57亿,3.37亿,2028.72万
2020-03-31,,9782.49万,27.97亿,27.02亿,9354.60万,8330.70万,,27.97亿,27.97亿,27.02亿,21.21亿,1318.78万,1.83亿,2.46亿,7843.52万,5888.03万,7029.04万,545.81万,91.02万,156.39万,False,1922.44万,1922.44万,25.33万,1605.99万,1.30亿,375.65万,False,591.73万,False,1.28亿,2981.99万,9782.49万,9782.49万,9354.60万,427.89万,8330.70万,,0.07,False,-2864.92万,-2623.14万,6917.58万,6731.47万,186.11万
2019-12-31,,10.08亿,124.16亿,116.65亿,9.63亿,6.63亿,,124.16亿,124.16亿,116.65亿,90.66亿,7245.05万,8.13亿,10.42亿,3.71亿,2.46亿,2.85亿,2691.39万,1697.03万,3676.31万,3.31亿,8193.74万,7613.07万,-465.63万,4474.76万,12.04亿,2476.40万,False,4239.14万,False,11.87亿,1.79亿,10.08亿,10.08亿,9.63亿,4507.20万,6.63亿,,0.75,0.75,-733.48万,-834.42万,10.01亿,9.55亿,4608.14万
2019-09-30,,8.46亿,92.51亿,86.66亿,8.11亿,5.47亿,,92.51亿,92.51亿,86.66亿,67.85亿,5211.49万,6.02亿,7.89亿,2.32亿,1.78亿,2.10亿,1870.75万,1013.33万,1642.72万,3.00亿,5860.57万,5279.89万,-223.98万,2226.71万,9.64亿,1742.90万,False,2118.61万,False,9.60亿,1.15亿,8.46亿,8.46亿,8.11亿,3481.14万,5.47亿,,0.63,0.63,1808.55万,1765.03万,8.64亿,8.28亿,3524.67万
2019-06-30,,6.30亿,60.11亿,56.44亿,6.10亿,3.48亿,,60.11亿,60.11亿,56.44亿,44.11亿,3725.81万,4.10亿,4.93亿,1.42亿,1.26亿,1.47亿,1545.31万,948.74万,1486.69万,3.00亿,4085.23万,3504.56万,-149.71万,1811.57万,7.24亿,998.86万,False,1324.77万,False,7.21亿,9139.30万,6.30亿,6.30亿,6.10亿,1967.80万,3.48亿,,0.47,0.47,806.07万,794.75万,6.38亿,6.18亿,1979.12万
2019-03-31,,2.36亿,29.85亿,28.50亿,2.30亿,1.13亿,,29.85亿,29.85亿,28.50亿,22.13亿,1767.94万,1.80亿,2.54亿,5875.64万,1.21亿,7564.68万,1595.91万,False,386.31万,1.28亿,1483.98万,1483.98万,-48.75万,730.16万,2.85亿,1091.06万,False,600.70万,False,2.90亿,5448.07万,2.36亿,2.36亿,2.30亿,560.89万,1.13亿,,0.18,0.18,-712.10万,-456.38万,2.29亿,2.26亿,305.18万
2018-12-31,,6.88亿,110.76亿,104.44亿,6.37亿,5.87亿,,110.76亿,110.76亿,104.44亿,81.82亿,6888.28万,7.45亿,9.13亿,2.56亿,2.16亿,2.64亿,5021.01万,6340.06万,False,4854.12万,5642.00万,5717.96万,452.65万,5333.65万,7.95亿,2338.78万,False,2961.38万,False,7.88亿,1.00亿,6.88亿,6.88亿,6.37亿,5121.18万,5.87亿,,0.49,0.49,-1.05亿,-1.02亿,5.83亿,5.34亿,4897.49万
2018-09-30,,4.87亿,82.25亿,76.73亿,4.46亿,4.40亿,,82.25亿,82.25亿,76.73亿,61.56亿,5491.11万,5.32亿,6.31亿,2.04亿,7750.84万,1.77亿,3474.38万,1701.60万,False,False,3410.85万,3082.26万,83.53万,1918.90万,6.06亿,6527.66万,False,7173.01万,False,5.99亿,1.12亿,4.87亿,4.87亿,4.46亿,4151.67万,4.40亿,,0.35,0.35,-8154.68万,-8185.60万,4.06亿,3.64亿,4182.59万
2018-06-30,,2.94亿,53.85亿,50.73亿,2.77亿,2.70亿,,53.85亿,53.85亿,50.73亿,40.89亿,3660.06万,3.46亿,3.74亿,1.19亿,9259.26万,1.18亿,2610.69万,1550.62万,False,False,2130.84万,1802.25万,105.66万,1437.75万,3.49亿,962.71万,False,1135.41万,False,3.47亿,5319.48万,2.94亿,2.94亿,2.77亿,1656.57万,2.70亿,,0.21,0.22,-3068.88万,-2527.78万,2.63亿,2.52亿,1115.47万
2018-03-31,,7891.54万,24.70亿,23.73亿,7403.87万,7453.67万,,24.70亿,24.70亿,23.73亿,18.56亿,1985.71万,1.55亿,2.11亿,5515.89万,7597.98万,5424.68万,1303.68万,5.68万,False,False,1187.33万,1187.33万,False,131.65万,1.10亿,737.98万,False,845.16万,False,1.09亿,3002.73万,7891.54万,7891.54万,7403.87万,487.67万,7453.67万,,0.06,0.06,4338.28万,4440.20万,1.22亿,1.18亿,385.75万
2017-12-31,,6.71亿,100.86亿,100.11亿,6.65亿,1.82亿,,100.86亿,100.86亿,100.11亿,79.21亿,7526.65万,7.64亿,7.08亿,2.30亿,2.65亿,2.79亿,5948.47万,4823.51万,False,203.35万,6.57亿,2842.93万,106.05万,3754.45万,7.73亿,2.67亿,False,1.54亿,False,8.86亿,2.14亿,6.71亿,2.08亿,6.65亿,619.35万,1.82亿,,0.52,0.52,-6762.72万,-7359.87万,6.04亿,5.92亿,1216.51万
2017-09-30,,6.94亿,75.96亿,74.08亿,6.84亿,1.74亿,,75.96亿,75.96亿,74.08亿,59.62亿,5342.30万,5.26亿,5.01亿,1.70亿,1.81亿,1.81亿,3544.28万,1442.98万,False,False,6.92亿,2200.87万,False,724.92万,8.87亿,7841.09万,False,9392.62万,False,8.72亿,1.78亿,6.94亿,1.52亿,6.84亿,933.69万,1.74亿,,0.53,0.53,1517.86万,840.85万,7.09亿,6.93亿,1610.70万
2017-06-30,,1.32亿,49.68亿,48.23亿,1.30亿,1.23亿,,49.68亿,49.68亿,48.23亿,38.64亿,3670.34万,3.44亿,4.47亿,False,1.13亿,False,False,1902.29万,False,False,882.77万,882.77万,False,396.58万,1.57亿,4159.42万,False,3699.73万,False,1.62亿,2969.25万,1.32亿,1.32亿,1.30亿,248.91万,1.23亿,,0.10,0.10,1262.61万,638.21万,1.45亿,1.36亿,873.31万
2017-03-31,,3361.87万,22.31亿,21.91亿,3420.46万,2725.43万,,22.31亿,22.31亿,21.91亿,17.29亿,1108.54万,1.48亿,2.40亿,False,6327.12万,False,False,14.80万,False,False,296.11万,296.11万,False,False,4316.76万,1873.83万,False,858.69万,False,5331.90万,1970.03万,3361.87万,3361.87万,3420.46万,-58.59万,2725.43万,,0.03,0.03,996.54万,846.68万,4358.42万,4267.14万,91.28万
